       Step     Time          Energy          fmax
MDMin:    0 21:56:08        9.414787       36.416067
MDMin:    1 21:56:08        3.163071        8.269012
MDMin:    2 21:56:08        1.808770        3.570696
MDMin:    3 21:56:08        1.376272        4.258932
MDMin:    4 21:56:08        1.280054        2.784998
MDMin:    5 21:56:09        0.826632        1.556287
MDMin:    6 21:56:09        0.692200        1.237254
MDMin:    7 21:56:09        0.565972        0.780202
MDMin:    8 21:56:09        0.441818        0.752320
MDMin:    9 21:56:09        0.358250        0.236296
MDMin:   10 21:56:09        0.334626        0.559684
MDMin:   11 21:56:09        0.298420        0.498522
MDMin:   12 21:56:09        0.266107        0.443750
MDMin:   13 21:56:09        0.237704        0.394124
MDMin:   14 21:56:09        0.212589        0.348390
MDMin:   15 21:56:09        0.190002        0.305917
MDMin:   16 21:56:09        0.169303        0.266499
MDMin:   17 21:56:09        0.150555        0.172949
MDMin:   18 21:56:09        0.134227        0.202500
MDMin:   19 21:56:09        0.122487        0.137217
MDMin:   20 21:56:09        0.110596        0.119058
MDMin:   21 21:56:09        0.103970        0.259439
MDMin:   22 21:56:09        0.098678        0.101629
MDMin:   23 21:56:09        0.096890        0.098746
       Step     Time          Energy          fmax
MDMin:    0 02:35:42        9.414853       36.416406
MDMin:    1 02:35:42        3.163087        8.269065
MDMin:    2 02:35:42        1.808781        3.570713
MDMin:    3 02:35:42        1.376277        4.258966
MDMin:    4 02:35:42        1.280059        2.785004
MDMin:    5 02:35:42        0.826635        1.556293
MDMin:    6 02:35:42        0.692201        1.237260
MDMin:    7 02:35:42        0.565972        0.780205
MDMin:    8 02:35:42        0.441818        0.752320
MDMin:    9 02:35:42        0.358249        0.236297
MDMin:   10 02:35:42        0.334626        0.559684
MDMin:   11 02:35:42        0.298420        0.498521
MDMin:   12 02:35:42        0.266107        0.443750
MDMin:   13 02:35:42        0.237704        0.394123
MDMin:   14 02:35:42        0.212588        0.348389
MDMin:   15 02:35:42        0.190002        0.305916
MDMin:   16 02:35:42        0.169303        0.266499
MDMin:   17 02:35:42        0.150554        0.172949
MDMin:   18 02:35:42        0.134227        0.202500
MDMin:   19 02:35:42        0.122487        0.137217
MDMin:   20 02:35:42        0.110596        0.119058
MDMin:   21 02:35:42        0.103971        0.259447
MDMin:   22 02:35:42        0.098678        0.101629
MDMin:   23 02:35:42        0.096890        0.098746
